
         3      2422         0         1
       237 1.999139744000001+1 3.000000000000000+1 0.000000000000000+0
       238 1.899119744000001+1 3.000000000000000+1 0.000000000000000+0
       239 1.799099744000001+1 3.000000000000000+1 0.000000000000000+0
       240 1.699079744000001+1 3.000000000000000+1 0.000000000000000+0
       241 1.599059744000001+1 3.000000000000000+1 0.000000000000000+0
       242 1.499039744000000+1 3.000000000000000+1 0.000000000000000+0
       243 1.399019744000000+1 3.000000000000000+1 0.000000000000000+0
       244 1.298999744000001+1 3.000000000000000+1 0.000000000000000+0
       245 1.198979744000000+1 3.000000000000000+1 0.000000000000000+0
       246 1.098959744000001+1 3.000000000000000+1 0.000000000000000+0
       247 9.989397439999999+0 3.000000000000000+1 0.000000000000000+0
       248 8.989197440000005+0 3.000000000000000+1 0.000000000000000+0
       249 7.988997440000000+0 3.000000000000000+1 0.000000000000000+0
       250 6.988797440000006+0 3.000000000000000+1 0.000000000000000+0
       251 5.988597440000000+0 3.000000000000000+1 0.000000000000000+0
       252 4.988397440000008+0 3.000000000000000+1 0.000000000000000+0
       253 3.988197440000001+0 3.000000000000000+1 0.000000000000000+0
       254 2.987997440000008+0 3.000000000000000+1 0.000000000000000+0
       255 1.987797440000001+0 3.000000000000000+1 0.000000000000000+0
       256 9.875974400000084-1 3.000000000000000+1 0.000000000000000+0
       257 1.605398592920405+1 9.142858091171833+0 0.000000000000000+0
       258 1.526343615197249+1 9.732784209566775+0 0.000000000000000+0
       259 1.447288637474093+1 1.032271032796172+1 0.000000000000000+0
       260 1.368233659750936+1 1.091263644635666+1 0.000000000000000+0
       261 1.289178682027780+1 1.150256256475160+1 0.000000000000000+0
       262 1.210123704304624+1 1.209248868314655+1 0.000000000000000+0
       263 1.131068726581468+1 1.268241480154149+1 0.000000000000000+0
       265 2.307944040105216+1 2.898238731149759+1 0.000000000000000+0
       266 2.279598981545563+1 2.805365441142168+1 0.000000000000000+0
       267 2.251253922985911+1 2.712492151134576+1 0.000000000000000+0
       268 2.222908864426258+1 2.619618861126985+1 0.000000000000000+0
       269 2.194563805866606+1 2.526745571119394+1 0.000000000000000+0
       270 2.166218747306953+1 2.433872281111802+1 0.000000000000000+0
       271 2.137873688747301+1 2.340998991104211+1 0.000000000000000+0
       272 2.109528630187649+1 2.248125701096620+1 0.000000000000000+0
       273 2.081183571627996+1 2.155252411089029+1 0.000000000000000+0
       274 2.052838513068344+1 2.062379121081438+1 0.000000000000000+0
       275 2.024493454508691+1 1.969505831073846+1 0.000000000000000+0
       276 1.996148395949039+1 1.876632541066255+1 0.000000000000000+0
       277 1.967803337389387+1 1.783759251058664+1 0.000000000000000+0
       278 1.939458278829734+1 1.690885961051073+1 0.000000000000000+0
       279 1.911113220270082+1 1.598012671043481+1 0.000000000000000+0
       280 1.882768161710429+1 1.505139381035890+1 0.000000000000000+0
       281 1.854423103150777+1 1.412266091028298+1 0.000000000000000+0
       282 1.826078044591124+1 1.319392801020707+1 0.000000000000000+0
       283 1.797732986031472+1 1.226519511013116+1 0.000000000000000+0
       284 1.769387927471820+1 1.133646221005525+1 0.000000000000000+0
       285 1.741042868912168+1 1.040772930997934+1 0.000000000000000+0
       286 1.712697810352515+1 9.478996409903424+0 0.000000000000000+0
       288 6.054005120025518+0 2.304496566206360+1 0.000000000000000+0
       289 6.965119119824518+0 2.340632111201499+1 0.000000000000000+0
       290 7.876233119623520+0 2.376767656196637+1 0.000000000000000+0
       291 8.787347119422520+0 2.412903201191775+1 0.000000000000000+0
       292 9.698461119221520+0 2.449038746186913+1 0.000000000000000+0
       293 1.060957511902052+1 2.485174291182052+1 0.000000000000000+0
       294 1.152068911881953+1 2.521309836177190+1 0.000000000000000+0
       295 1.243180311861853+1 2.557445381172328+1 0.000000000000000+0
       296 1.334291711841753+1 2.593580926167466+1 0.000000000000000+0
       297 1.425403111821653+1 2.629716471162604+1 0.000000000000000+0
       298 1.516514511801553+1 2.665852016157742+1 0.000000000000000+0
       299 1.607625911781453+1 2.701987561152880+1 0.000000000000000+0
       300 1.698737311761353+1 2.738123106148019+1 0.000000000000000+0
       301 1.789848711741254+1 2.774258651143157+1 0.000000000000000+0
       302 1.898206378726905+1 2.817234210203736+1 0.000000000000000+0
       303 1.980108552430891+1 2.849717298859304+1 0.000000000000000+0
       304 2.063182911680954+1 2.882665286128572+1 0.000000000000000+0
       305 2.154294311660854+1 2.918800831123710+1 0.000000000000000+0
       306 2.245405711640755+1 2.954936376118848+1 0.000000000000000+0
       309 1.003267901025668+1 1.412667970909957+1 0.000000000000000+0
       310 9.543722800310544+0 1.498252868687764+1 0.000000000000000+0
       311 9.054766590364409+0 1.583837766465572+1 0.000000000000000+0
       312 8.565810380418275+0 1.669422664243379+1 0.000000000000000+0
       313 8.076854170472140+0 1.755007562021186+1 0.000000000000000+0
       314 7.587897960526004+0 1.840592459798993+1 0.000000000000000+0
       315 7.098941750579870+0 1.926177357576800+1 0.000000000000000+0
       316 6.609985540633734+0 2.011762255354607+1 0.000000000000000+0
       317 6.121029330687600+0 2.097347153132415+1 0.000000000000000+0
       318 5.632073120741464+0 2.182932050910222+1 0.000000000000000+0
       319 4.605398592920406+1 9.142858091171833+0 0.000000000000000+0
       320 4.526343615197250+1 9.732784209566779+0 0.000000000000000+0
       321 4.447288637474092+1 1.032271032796172+1 0.000000000000000+0
       322 4.368233659750936+1 1.091263644635666+1 0.000000000000000+0
       323 4.289178682027780+1 1.150256256475160+1 0.000000000000000+0
       324 4.210123704304624+1 1.209248868314655+1 0.000000000000000+0
       325 4.131068726581468+1 1.268241480154149+1 0.000000000000000+0
       327 5.306651763065720+1 2.894004553259223+1 0.000000000000000+0
       328 5.277018292753356+1 2.796909750069468+1 0.000000000000000+0
       329 5.247384822440992+1 2.699814946879713+1 0.000000000000000+0
       330 5.217751352128628+1 2.602720143689959+1 0.000000000000000+0
       331 5.188117881816264+1 2.505625340500204+1 0.000000000000000+0
       332 5.158484411503902+1 2.408530537310450+1 0.000000000000000+0
       333 5.128850941191536+1 2.311435734120696+1 0.000000000000000+0
       334 5.099217470879172+1 2.214340930930941+1 0.000000000000000+0
       335 5.069584000566808+1 2.117246127741186+1 0.000000000000000+0
       336 5.039950530254444+1 2.020151324551431+1 0.000000000000000+0
       337 5.010317059942082+1 1.923056521361678+1 0.000000000000000+0
       338 4.980683589629718+1 1.825961718171923+1 0.000000000000000+0
       339 4.951050119317354+1 1.728866914982168+1 0.000000000000000+0
       340 4.921416649004990+1 1.631772111792414+1 0.000000000000000+0
       341 4.891783178692626+1 1.534677308602659+1 0.000000000000000+0
       342 4.862149708380262+1 1.437582505412905+1 0.000000000000000+0
       343 4.832516238067898+1 1.340487702223150+1 0.000000000000000+0
       344 4.802882767755534+1 1.243392899033396+1 0.000000000000000+0
       345 4.773249297443170+1 1.146298095843642+1 0.000000000000000+0
       346 4.743615827130806+1 1.049203292653887+1 0.000000000000000+0
       347 4.713982356818442+1 9.521084894641321+0 0.000000000000000+0
       349 3.605400512002552+1 2.304496566206360+1 0.000000000000000+0
       350 3.696511911982452+1 2.340632111201499+1 0.000000000000000+0
       351 3.787623311962353+1 2.376767656196637+1 0.000000000000000+0
       352 3.878734711942253+1 2.412903201191775+1 0.000000000000000+0
       353 3.969846111922154+1 2.449038746186913+1 0.000000000000000+0
       354 4.060957511902054+1 2.485174291182052+1 0.000000000000000+0
       355 4.152068911881953+1 2.521309836177190+1 0.000000000000000+0
       356 4.243180311861854+1 2.557445381172328+1 0.000000000000000+0
       357 4.334291711841753+1 2.593580926167466+1 0.000000000000000+0
       358 4.425403111821653+1 2.629716471162604+1 0.000000000000000+0
       359 4.516514511801554+1 2.665852016157742+1 0.000000000000000+0
       360 4.607625911781454+1 2.701987561152881+1 0.000000000000000+0
       361 4.698737311761354+1 2.738123106148019+1 0.000000000000000+0
       362 4.789848711741256+1 2.774258651143157+1 0.000000000000000+0
       363 4.880960111721156+1 2.810394196138296+1 0.000000000000000+0
       364 4.972071511701054+1 2.846529741133433+1 0.000000000000000+0
       365 5.063182911680954+1 2.882665286128572+1 0.000000000000000+0
       366 5.154294311660856+1 2.918800831123710+1 0.000000000000000+0
       367 5.245405711640756+1 2.954936376118848+1 0.000000000000000+0
       370 4.003267901025669+1 1.412667970909957+1 0.000000000000000+0
       371 3.954372280031055+1 1.498252868687764+1 0.000000000000000+0
       372 3.905476659036442+1 1.583837766465571+1 0.000000000000000+0
       373 3.856581038041828+1 1.669422664243379+1 0.000000000000000+0
       374 3.807685417047215+1 1.755007562021186+1 0.000000000000000+0
       375 3.758789796052601+1 1.840592459798993+1 0.000000000000000+0
       376 3.709894175057988+1 1.926177357576800+1 0.000000000000000+0
       377 3.660998554063375+1 2.011762255354607+1 0.000000000000000+0
       378 3.612102933068761+1 2.097347153132415+1 0.000000000000000+0
       379 3.563207312074148+1 2.182932050910222+1 0.000000000000000+0
       380 7.605398592920406+1 9.142858091171833+0 0.000000000000000+0
       381 7.526343615197248+1 9.732784209566775+0 0.000000000000000+0
       382 7.447288637474094+1 1.032271032796172+1 0.000000000000000+0
       383 7.368233659750936+1 1.091263644635666+1 0.000000000000000+0
       384 7.289178682027782+1 1.150256256475160+1 0.000000000000000+0
       385 7.210123704304624+1 1.209248868314655+1 0.000000000000000+0
       386 7.131068726581468+1 1.268241480154149+1 0.000000000000000+0
       388 8.306651763065720+1 2.894004553259222+1 0.000000000000000+0
       389 8.277018292753356+1 2.796909750069467+1 0.000000000000000+0
       390 8.247384822440992+1 2.699814946879713+1 0.000000000000000+0
       391 8.217751352128630+1 2.602720143689958+1 0.000000000000000+0
       392 8.188117881816266+1 2.505625340500204+1 0.000000000000000+0
       393 8.158484411503903+1 2.408530537310450+1 0.000000000000000+0
       394 8.128850941191539+1 2.311435734120696+1 0.000000000000000+0
       395 8.099217470879177+1 2.214340930930941+1 0.000000000000000+0
       396 8.069584000566810+1 2.117246127741186+1 0.000000000000000+0
       397 8.039950530254446+1 2.020151324551431+1 0.000000000000000+0
       398 8.010317059942082+1 1.923056521361678+1 0.000000000000000+0
       399 7.980683589629720+1 1.825961718171923+1 0.000000000000000+0
       400 7.951050119317354+1 1.728866914982168+1 0.000000000000000+0
       401 7.921416649004992+1 1.631772111792414+1 0.000000000000000+0
       402 7.891783178692628+1 1.534677308602659+1 0.000000000000000+0
       403 7.862149708380262+1 1.437582505412905+1 0.000000000000000+0
       404 7.832516238067898+1 1.340487702223150+1 0.000000000000000+0
       405 7.802882767755536+1 1.243392899033396+1 0.000000000000000+0
       406 7.773249297443172+1 1.146298095843642+1 0.000000000000000+0
       407 7.743615827130808+1 1.049203292653887+1 0.000000000000000+0
       408 7.713982356818444+1 9.521084894641321+0 0.000000000000000+0
       410 6.605400512002552+1 2.304496566206360+1 0.000000000000000+0
       411 6.696511911982452+1 2.340632111201499+1 0.000000000000000+0
       412 6.787623311962352+1 2.376767656196637+1 0.000000000000000+0
       413 6.878734711942252+1 2.412903201191775+1 0.000000000000000+0
       414 6.969846111922152+1 2.449038746186913+1 0.000000000000000+0
       415 7.060957511902054+1 2.485174291182052+1 0.000000000000000+0
       416 7.152068911881954+1 2.521309836177190+1 0.000000000000000+0
       417 7.243180311861854+1 2.557445381172328+1 0.000000000000000+0
       418 7.334291711841754+1 2.593580926167466+1 0.000000000000000+0
       419 7.425403111821654+1 2.629716471162604+1 0.000000000000000+0
       420 7.516514511801556+1 2.665852016157742+1 0.000000000000000+0
       421 7.607625911781456+1 2.701987561152880+1 0.000000000000000+0
       422 7.708328326046224+1 2.741926982812369+1 0.000000000000000+0
       423 7.789848711741256+1 2.774258651143157+1 0.000000000000000+0
       424 7.880960111721156+1 2.810394196138295+1 0.000000000000000+0
       425 7.972071511701056+1 2.846529741133433+1 0.000000000000000+0
       426 8.060113360696880+1 2.881447876477042+1 0.000000000000000+0
       427 8.154294311660855+1 2.918800831123710+1 0.000000000000000+0
       428 8.245405711640753+1 2.954936376118848+1 0.000000000000000+0
       431 7.003267901025668+1 1.412667970909957+1 0.000000000000000+0
       432 6.954372280031056+1 1.498252868687764+1 0.000000000000000+0
       433 6.905476659036442+1 1.583837766465571+1 0.000000000000000+0
       434 6.856581038041828+1 1.669422664243379+1 0.000000000000000+0
       435 6.807685417047216+1 1.755007562021186+1 0.000000000000000+0
       436 6.758789796052600+1 1.840592459798993+1 0.000000000000000+0
       437 6.709894175057988+1 1.926177357576800+1 0.000000000000000+0
       438 6.660998554063376+1 2.011762255354607+1 0.000000000000000+0
